Country,incomeLevel,GDP per capita (current US$),School enrollment secondary female (% gross),School enrollment secondary male (% gross),Continent,Gini Index,Life Expectancy,Internet Usage %,Female Labor Force %,Political_Orientation
Afghanistan,LIC,413.757894705303,,,Asia,,66.035,17.7089,5.155,Right
Albania,UMC,8575.17134637222,92.6682931237011,99.4990102825512,Europe,,79.602,83.1356,53.207,Left
Algeria,UMC,5364.02795022731,103.220718383789,99.39404296875,Africa,,76.261,76.9081,14.132,Center
Argentina,UMC,14187.4827252965,107.980730920017,103.300242345634,South America,42.4,77.395,89.229,52.957,Left
Australia,HIC,64835.9199754535,131.09733581543,136.93244934082,Oceania,,83.0512195121951,97.0631,62.374,Left
Austria,HIC,56033.573792065,99.5390701293945,101.414726257324,Europe,31.2,81.5414634146342,95.3347,55.812,Right
Azerbaijan,UMC,7133.02838048328,90.9502304680864,94.3024672853344,Asia,,74.429,89.0,60.952,Right
Belgium,HIC,54690.0942734964,152.577819824219,133.851455688477,Europe,26.8,82.3975609756098,94.6263,49.831,Center
Bolivia,LMC,3686.27996442176,91.2883197233107,91.4437955856748,South America,42.1,68.581,70.2368,71.909,Left
Bosnia and Herzegovina,UMC,8663.02322987879,90.4367218017578,85.4842224121094,Europe,,77.85,83.3772,39.533,Right
Brazil,UMC,10377.5892792557,108.78392791748,103.43522644043,South America,51.6,75.848,84.1506,53.205,Right
Bulgaria,HIC,15883.8618545581,94.6070022583008,96.5809173583984,Europe,39.5,75.7073170731707,80.3896,51.043,Center
Canada,HIC,54220.3285039875,104.423652648926,104.159378051758,North America,,81.6465853658537,93.9564,61.134,Left
Chile,HIC,17067.0364799154,104.630210876465,106.990226745605,South America,43.0,81.167,94.4574,51.963,Left
China,UMC,12951.1782397043,,,Asia,36.0,77.953,90.6,59.948,Left
Colombia,UMC,7000.83660501046,103.587738037109,99.642463684082,South America,53.9,77.725,77.3369,51.859,Left
Costa Rica,HIC,16942.0268119304,130.602096557617,120.640258789062,North America,46.7,80.799,85.3951,44.088,Right
Croatia,HIC,21865.4562838641,108.546096801758,101.697067260742,Europe,30.1,78.4731707317073,83.2412,47.144,Right
Cyprus,HIC,36551.41796875,102.089820861816,102.697471618652,Europe,31.8,81.648,91.2211,62.475,Right
Czechia,HIC,31591.0568216357,98.0195083618164,97.232551574707,Europe,25.7,79.8780487804878,85.994,53.235,Right
Denmark,HIC,68453.8769281145,126.258628845215,127.668800354004,Europe,29.9,81.8536585365854,98.7756,59.812,Left
Ecuador,UMC,6737.84748379638,94.1827583420861,91.5025357413774,South America,44.6,77.392,72.6943,52.521,Right
Egypt,LMC,3456.78968456253,83.0465220652019,85.8377684487673,Africa,,71.633,72.6899,15.3,Right
Estonia,HIC,30133.304450454,110.660980224609,106.336311340332,Europe,30.7,78.490243902439,93.1834,61.049,Right
Finland,HIC,52821.5114340717,151.367446899414,134.739547729492,Europe,27.4,81.6853658536585,93.5139,57.489,Left
France,HIC,44690.9345395117,104.395561218262,103.551887512207,Europe,31.8,82.9292682926829,86.8364,51.826,Center
Georgia,UMC,8283.66960652261,99.8475609756098,106.358904729577,Asia,34.8,74.496,81.8843,55.037,Center
Germany,HIC,53940.4073447462,97.6778869628906,103.361763000488,Europe,,80.5414634146342,92.4764,55.848,Left
Ghana,LMC,2383.90410483418,77.9574778013858,77.6788181216137,Africa,,65.498,69.9445,61.815,Right
Greece,HIC,23400.7278817691,104.025230407715,106.284446716309,Europe,33.4,81.5365853658537,85.0102,44.673,Right
Hungary,HIC,22312.1790289763,104.916549682617,105.895446777344,Europe,,76.7707317073171,91.4501,53.938,Right
Iceland,HIC,79960.0961535662,106.320831298828,111.350799560547,Europe,,82.6073170731707,99.8301,70.368,Left
India,LMC,2530.12031278204,79.2123793802494,79.4281428084852,Asia,25.5,72.003,55.9,31.243,Right
Indonesia,UMC,4876.30774512252,97.4046705284819,94.6665490281411,Asia,36.1,71.146,69.2084,52.545,Center
Iran,UMC,4465.63766853306,,,Asia,35.9,77.654,79.6309,13.592,Right
Iraq,UMC,5965.31835077761,,,Asia,29.8,72.324,81.7291,10.872,Right
Ireland,HIC,103887.800388081,139.450531005859,127.158058166504,Europe,29.0,82.8609756097561,96.4974,59.968,Right
Israel,HIC,52003.7200729997,96.7158966064453,96.2274322509766,Asia,,83.1951219512195,87.0384,61.825,Right
Italy,HIC,39065.4244365633,100.401916503906,100.938331604004,Europe,34.3,83.7,87.0278,41.313,Right
Japan,HIC,33836.1756271617,102.431587219238,102.261619567871,Asia,,84.0412195121951,86.9815,54.847,Right
Kazakhstan,UMC,12879.4275257974,94.8671029040021,95.5950932366574,Asia,,74.402,92.8785,66.596,Center
Kenya,LMC,1952.30457929636,84.7505339840655,83.8683501574215,Africa,37.7,63.646,35.0,62.434,Right
"Korea, Rep.",HIC,33121.3712885508,95.9690704345703,96.6080627441406,Asia,,83.4292682926829,97.416,56.038,Right
Latvia,HIC,22675.5786295407,102.485107421875,101.782501220703,Europe,34.0,75.6780487804878,92.1879,55.383,Right
Lithuania,HIC,27786.0057829276,104.355499267578,106.455451965332,Europe,36.0,76.9878048780488,88.5029,57.914,Right
Malaysia,UMC,11379.0851923557,82.6422941806466,76.4987815682604,Asia,,76.657,97.6927,51.573,Center
Mexico,UMC,13826.1306570122,108.700912475586,95.6369094848633,North America,43.5,75.069,81.1832,47.317,Left
Moldova,UMC,6799.58594644576,96.9969097488181,98.740207672823,Europe,26.8,71.198,80.2126,69.917,Right
Mongolia,UMC,5838.63108083902,99.3672996596348,94.4337300368084,Asia,31.4,72.1224390243902,83.0162,53.596,Left
Morocco,LMC,3771.4462890625,87.2227171713839,88.2220836865992,Africa,,75.313,91.0,19.709,Right
Netherlands,HIC,64572.0059558854,140.839157104492,134.354537963867,Europe,,81.9146341463415,97.0068,62.937,Right
New Zealand,HIC,48654.904227478,117.271408081055,109.725051879883,Oceania,,83.0048780487805,96.1638,66.932,Left
Nigeria,LMC,1596.63696129001,47.4061508178711,46.3985900878906,Africa,33.9,54.462,39.2136,80.768,Left
North Macedonia,UMC,8624.28400232117,90.173713684082,89.9773178100586,Europe,,75.3160975609756,87.1819,41.898,Left
Norway,HIC,87497.3289297342,116.642189025879,118.847152709961,Europe,26.5,83.1121951219512,99.0,61.765,Left
Pakistan,LMC,1365.16927410976,39.5879695501278,44.8603697879638,Asia,,67.649,27.3759,24.195,Right
Peru,UMC,7887.54185920108,113.164916992188,109.681869506836,South America,40.7,77.74,79.4848,65.083,Left
Philippines,LMC,3804.08274131097,92.2052107888903,90.9115557265909,Asia,39.3,69.833,83.7661,50.369,Right
Poland,HIC,22145.2643088909,107.910926818848,108.837356567383,Europe,28.5,78.5073170731707,86.4147,51.867,Right
Portugal,HIC,27386.2920595024,121.013473510742,119.70516204834,Europe,33.9,82.2804878048781,85.7901,54.891,Left
Qatar,HIC,80195.8746508549,103.828099708644,102.176538111779,Asia,,82.368,99.6528,63.257,Right
Romania,HIC,18404.2730871704,81.8756637573242,81.4007186889648,Europe,29.8,76.6073170731707,89.2034,42.008,Right
Russian Federation,HIC,14159.3876953125,91.6148817164136,93.3061842835501,Europe,33.0,73.2546341463415,92.245,55.199,Right
Saudi Arabia,HIC,36156.848337701,120.79801594321,123.491765575734,Asia,,78.732,100.0,34.112,Right
Serbia,UMC,12281.5058488303,92.8318710327148,91.1256866455078,Europe,32.8,76.2209756097561,85.3575,49.949,Right
Singapore,HIC,85412.230345235,102.676070813741,103.473602350298,Asia,,82.8951219512195,94.2852,61.973,Right
Slovak Republic,HIC,24673.5482979144,93.5071716308594,91.8224563598633,Europe,23.8,78.0170731707317,87.2131,55.721,Right
Slovenia,HIC,32610.110922729,108.57103729248,106.732627868652,Europe,24.7,81.9780487804878,90.3779,53.532,Center
South Africa,UMC,6022.54254192335,107.464974022043,100.83861239756,Africa,,66.139,75.6592,52.929,Left
Spain,HIC,33509.0127982139,120.571983337402,116.28150177002,Europe,33.4,83.8829268292683,95.4456,52.842,Left
Sri Lanka,LMC,3798.89016573011,90.4491165297148,85.5200721664469,Asia,,77.483,51.2,31.619,Right
Sweden,HIC,55567.0890080496,143.316436767578,125.707229614258,Europe,29.3,83.309756097561,95.7033,61.763,Right
Switzerland,HIC,100631.802755125,101.31884765625,104.520301818848,Europe,33.8,84.0560975609756,97.3444,62.294,Right
Thailand,UMC,7195.10130919449,96.6361035696829,90.1769888485506,Asia,33.5,76.412,89.5353,59.285,Right
Tunisia,LMC,3950.3753419816,,,Africa,,76.508,72.3542,26.781,Center
Turkiye,UMC,13105.6585004778,114.45539855957,117.541946411133,Europe,44.5,77.156,85.9607,35.764,Right
Ukraine,UMC,5139.59814453125,,,Europe,,73.422,82.3755,,Center
United Arab Emirates,HIC,49040.6947521035,102.195120776205,101.702743049076,Asia,,82.909,100.0,53.475,Right
United Kingdom,HIC,49200.8101526146,113.907653808594,110.97501373291,Europe,,81.2380975609756,96.2988,57.365,Right
United States,HIC,82304.6204272866,98.6511611938477,96.351806640625,North America,41.8,78.3853658536585,93.1444,56.602,Left
Uruguay,HIC,23019.4221560046,125.241045093642,113.235141940602,South America,40.9,78.138,89.896,57.276,Right
Uzbekistan,LMC,2878.96879292451,97.0191649872622,97.7275381724845,Asia,34.5,72.388,89.0136,39.626,Center
"Venezuela, RB",INX,,101.692710876465,92.9854965209961,South America,,72.514,,38.018,Left
Vietnam,LMC,4323.35031982451,90.5445572317873,96.2090753212709,Asia,36.1,74.588,78.08,69.533,Left
