Country,incomeLevel,GDP per capita (current US$),School enrollment secondary female (% gross),School enrollment secondary male (% gross),Continent,Gini Index,Life Expectancy,Internet Usage %,Female Labor Force %,Political_Orientation
Afghanistan,LIC,357.261152798144,41.1,72.1,Asia,29.4,65.617,17.1917,5.159,Right
Albania,UMC,7756.96188744253,93.2280956589459,101.239932352104,Europe,34.3,78.769,82.6137,53.183,Left
Algeria,UMC,4960.30334332888,106.153022766113,103.018028259277,Africa,27.6,76.129,74.8319,14.092,Center
Argentina,UMC,13962.1894087223,117.566009521484,110.914016723633,South America,40.7,75.806,88.3754,51.868,Left
Australia,HIC,65169.5191118657,130.563079833984,135.833282470703,Oceania,34.3,83.2,97.0424,62.314,Left
Austria,HIC,52336.7725223758,100.453628540039,102.406852722168,Europe,30.9,81.2951219512195,93.6141,55.688,Right
Azerbaijan,UMC,7770.594223351,88.7876201854696,92.8394772101353,Asia,28.6,74.125,88.0,61.473,Right
Belgium,HIC,50605.7496677086,151.826583862305,134.478927612305,Europe,26.4,81.7487804878049,94.0078,50.029,Center
Bolivia,LMC,4219.46113742445,90.3370506966397,90.407349700313,South America,41.2,67.434,67.3612,71.714,Left
Bosnia and Herzegovina,UMC,7655.59421024383,89.2550964355469,84.9844207763672,Europe,33.0,76.777,78.8455,38.537,Right
Brazil,UMC,9281.33282136864,108.78392791748,103.43522644043,South America,52.0,74.872,80.5278,53.864,Right
Bulgaria,HIC,13999.1949530956,95.5302886962891,97.7466583251953,Europe,38.2,74.1609756097561,79.1269,50.649,Center
Canada,HIC,56256.8007264015,108.366371154785,106.643898010254,North America,31.1,81.2453658536585,94.0,61.049,Left
Chile,HIC,15405.6165774073,105.129852294922,106.974533081055,South America,43.0,79.176,93.5377,50.026,Left
China,UMC,12970.6056414327,95.8942000000000,90.9657000000000,Asia,37.1,78.202,75.6113,59.894,Left
Colombia,UMC,6680.44506854481,103.587738037109,99.642463684082,South America,54.8,76.508,72.7964,50.926,Left
Costa Rica,HIC,13625.9008491328,138.920425415039,125.201507568359,North America,47.2,79.316,82.598,50.283,Right
Croatia,HIC,18465.5414420364,108.496017456055,102.819488525391,Europe,30.0,77.5756097560976,82.0716,46.922,Right
Cyprus,HIC,33231.04296875,103.528419494629,104.460891723633,Europe,31.5,80.434,89.601,61.219,Right
Czechia,HIC,28282.2236715857,103.715873718262,102.193817138672,Europe,25.9,78.9292682926829,84.5401,52.191,Right
Denmark,HIC,67781.0940939514,129.684188842773,130.939834594727,Europe,29.3,81.3048780487805,97.8601,59.551,Left
Ecuador,UMC,6515.58528418336,95.6203503719702,92.7132317616501,South America,45.5,76.577,69.7181,53.451,Right
Egypt,LMC,4233.30783744856,83.0465220652019,85.8377684487673,Africa,28.5,71.01,72.1981,15.233,Right
Estonia,HIC,28340.3826549406,114.788101196289,110.431419372559,Europe,32.3,77.8439024390244,91.5202,60.138,Right
Finland,HIC,50440.560224974,153.241073608398,136.826873779297,Europe,27.9,81.1878048780488,92.9888,57.267,Left
France,HIC,40988.6396406579,104.633659362793,104.015800476074,Europe,31.2,82.1292682926829,85.3333,51.871,Center
Georgia,UMC,6729.84659930283,100.530264984786,106.71803397787,Asia,33.5,74.141,78.7113,54.925,Center
Germany,HIC,50506.5179638543,97.7000427246094,103.753646850586,Europe,32.4,80.6080487804878,91.6298,55.595,Left
Ghana,LMC,2229.89122647803,77.9574778013858,77.6788181216137,Africa,43.5,65.246,69.3607,61.819,Right
Greece,HIC,20886.5243087629,104.863693237305,107.482482910156,Europe,33.4,80.7878048780488,83.1707,44.413,Right
Hungary,HIC,18428.028825614,102.542449951172,103.256141662598,Europe,29.2,75.8682926829268,89.1428,53.117,Right
Iceland,HIC,76350.4550416502,110.178550720215,114.888771057129,Europe,26.8,82.119512195122,99.8082,70.57,Left
India,LMC,2347.44829434623,80.9193633018822,82.3298784211186,Asia,25.5,71.698,55.9,29.479,Right
Indonesia,UMC,4730.83484836107,98.185474262024,97.4667372645608,Asia,35.5,70.925,66.4846,52.562,Center
Iran,UMC,4721.20437099984,83.91,88.54,Asia,34.8,76.799,79.061,13.469,Right
Iraq,UMC,6520.73154560584,42.63,52.12,Asia,29.8,72.037,78.7156,10.99,Right
Ireland,HIC,105190.685952731,139.450531005859,127.158058166504,Europe,29.9,82.509756097561,96.6206,59.228,Right
Israel,HIC,54949.621556429,96.8969879150391,96.2887115478516,Asia,37.9,82.7,91.8508,61.109,Right
Italy,HIC,35653.9042103495,100.924369812012,101.75700378418,Europe,33.7,82.7,85.0607,40.517,Right
Japan,HIC,34065.6438962526,102.477928161621,102.205009460449,Asia,32.9,83.9963414634146,84.9234,54.167,Right
Kazakhstan,UMC,11255.3396437881,93.6981837228001,94.372893689819,Asia,29.2,73.503,92.2969,66.978,Center
Kenya,LMC,2109.56288513137,83.4337197590316,84.1132608704534,Africa,37.7,63.549,35.0,62.49,Right
"Korea, Rep.",HIC,34822.4048404971,97.5669174194336,98.0538101196289,Asia,31.4,82.6804878048781,97.1686,55.03,Right
Latvia,HIC,20221.103686109,105.172348022461,104.376403808594,Europe,33.7,74.2780487804878,91.0301,55.299,Right
Lithuania,HIC,25085.784063499,105.173408508301,108.589599609375,Europe,36.6,75.6439024390244,87.7242,58.035,Right
Malaysia,UMC,11754.5678336248,82.2986504789168,75.6526502809747,Asia,40.7,75.444,97.3986,51.604,Center
Mexico,UMC,11405.7940473759,104.8212890625,92.1142120361328,North America,43.5,73.973,78.6322,46.004,Left
Moldova,UMC,5744.29618434435,97.3920322268435,97.8245718837117,Europe,25.9,71.546,76.7412,71.543,Right
Mongolia,UMC,4993.51487463495,96.3042193568297,90.9764772027977,Asia,31.4,71.9007317073171,82.1725,53.922,Left
